Level,NACE,Description,CPRS Main,CPRS2,CPRS Granular,Note on CPRS,IAM,NGFS3,NOTESOnMapping
3,D.35.2,Manufacture of gas; distribution of gaseous fuels through mains,1-fossil-fuel,1-fossil|gas,fuel|fossil|gas,,Secondary Energy|Gases,Secondary Energy|Gases,
4,D.35.21,Manufacture of gas,1-fossil-fuel,1-fossil|gas,fuel|fossil|gas|manufacturing,,Secondary Energy|Gases|Natural Gas,Secondary Energy|Gases|Natural Gas,
4,D.35.21,Manufacture of gas,1-fossil-fuel,1-fossil|gas,fuel|renewable|biogas|manufacturing,,Secondary Energy|Gases|Biomass,Secondary Energy|Gases|Biomass,
4,D.35.22,Distribution of gaseous fuels through mains,1-fossil-fuel,1-fossil|gas,fuel|fossil|gas|distribution,,Secondary Energy|Gases|Natural Gas,Secondary Energy|Gases|Natural Gas,
4,D.35.22,Distribution of gaseous fuels through mains,1-fossil-fuel,1-fossil|gas,fuel|renewable|biogas|distribution,,Secondary Energy|Gases|Biomass,Secondary Energy|Gases|Biomass,
4,D.35.23,Trade of gas through mains,1-fossil-fuel,1-fossil|gas,fuel|fossil|gas|trade,,Trade|Primary Energy|Gas,Trade|Primary Energy|Gas,
4,D.35.23,Trade of gas through mains,1-fossil-fuel,1-fossil|gas,fuel|renewable|biogas|trade,,Trade|Primary Energy|Gas,Trade|Primary Energy|Gas,
3,D.35.3,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|fossil|coal|cogeneration,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|fossil|gas|cogeneration,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|fossil|gas|generation,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|fossil|oil|cogeneration,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|renewables|biomass|cogeneration,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|renewables|biomass|generation,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|renewables|geothermal|cogeneration,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|renewables|geothermal|generation,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|renewables|solar concentrated|cogeneration,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|renewables|solar concentrated|generation,,,,
4,D.35.30,Steam and air conditioning supply,2-utility,2-utility|other,heat/cool|waste|generation,,,,
1,E,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",,,n.a.,,,,
2,E.36,"Water collection, treatment and supply",2-utility,2-utility|other,water services,,,,
3,E.36.0,"Water collection, treatment and supply",2-utility,2-utility|water&sewerage,water services,,,,
4,E.36.00,"Water collection, treatment and supply",2-utility,2-utility|water&sewerage,water services,,,,
2,E.37,Sewerage,2-utility,2-utility|water&sewerage,sewerage services,,,,
3,E.37.0,Sewerage,2-utility,2-utility|water&sewerage,sewerage services,,,,
4,E.37.00,Sewerage,2-utility,2-utility|water&sewerage,sewerage services,,,,
2,E.38,"Waste collection, treatment and disposal activities; materials recovery",2-utility,2-utility|waste,waste services,,,,
3,E.38.1,Waste collection,2-utility,2-utility|waste,waste services,,,,
4,E.38.11,Collection of non-hazardous waste,2-utility,2-utility|waste,waste services,,,,
4,E.38.12,Collection of hazardous waste,2-utility,2-utility|waste,waste services,,,,
3,E.38.2,Waste treatment and disposal,2-utility,2-utility|waste,waste services,,,,
4,E.38.21,Treatment and disposal of non-hazardous waste,2-utility,2-utility|waste,waste services,,,,
4,E.38.22,Treatment and disposal of hazardous waste,2-utility,2-utility|waste,waste services,,,,
3,E.38.3,Materials recovery,2-utility,2-utility|waste,waste services,,,,
4,E.38.31,Dismantling of wrecks,2-utility,2-utility|waste,waste services,,,,
4,E.38.32,Recovery of sorted materials,2-utility,2-utility|waste,waste services,,,,
2,E.39,Remediation activities and other waste management services,9-other,9-other,other,,,,
3,E.39.0,Remediation activities and other waste management services,9-other,9-other,other,,,,
4,E.39.00,Remediation activities and other waste management services,9-other,9-other,other,,,,
1,F,CONSTRUCTION,,,n.a.,,,,
2,F.41,Construction of buildings,4-buildings,4-buildings,buildings,,,,
3,F.41.1,Development of building projects,4-buildings,4-buildings,buildings,,,,
4,F.41.10,Development of building projects,4-buildings,4-buildings,buildings,,,,
3,F.41.2,Construction of residential and non-residential buildings,4-buildings,4-buildings,buildings,,Final Energy|Residential and Commercial,Energy Service|Residential and Commercial|Floor Space,
4,F.41.20,Construction of residential and non-residential buildings,4-buildings,4-buildings,buildings,,Final Energy|Residential and Commercial,Energy Service|Residential and Commercial|Floor Space,
2,F.42,Civil engineering,5-transportation,5-transportation,transportation,,,,
3,F.42.1,Construction of roads and railways,5-transportation,5-transportation,transportation|infrastructure,,Final Energy|Transportation,,
4,F.42.11,Construction of roads and motorways,5-transportation,5-transportation|roads,transportation|road|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Road,
4,F.42.12,Construction of railways and underground railways,5-transportation,5-transportation|railways,transportation|rail|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Rail,
4,F.42.13,Construction of bridges and tunnels,5-transportation,5-transportation,transportation|land|infrastructure,,Final Energy|Transportation,Energy Service|Transportation|Road,
